language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
yue,4097,聽晚,,,,1,count,t,,ting1maan5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
yue,4098,聽朝,tomorrow morning,tomorrow morning,,1,count,t,,ting1ziu1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,聽朝,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,聽朝,source_dictionary_gloss,https://cc-canto.org/
yue,4099,聽歌,,,,1,count,n,,teng1go1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
yue,4100,肉桂,Chinese cinnamon (Cinnamomum cassia),Chinese cinnamon (Cinnamomum cassia),,1,count,n,,juk6gwai3,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,肉桂,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,肉桂,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4101,肋膀,,,,1,count,n,,laak6pong4,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
yue,4102,肚腩,belly,belly,,1,count,n,,tou5naam5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,肚腩,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,肚腩,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4103,股價,stock price; share price,stock price; share price,,1,count,n,,gu2gaa3,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,股价,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,股价,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4104,股市,stock market,stock market,,1,count,n,,gu2si5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,股市,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,股市,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4105,肢解,to dismember; (fig.) to break into parts,to dismember; (fig.) to break into parts,,1,count,vn,,zi1gaai2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,肢解,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,肢解,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4106,肥妹,a fat girl [written and colloquial],a fat girl [written and colloquial],,1,count,n,,fei4mui1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,肥妹,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,肥妹,source_dictionary_gloss,https://cc-canto.org/
